date,time,flight,from,to,airline,aircraft,status,temperature departure,wind speed departure,wind direction departure,scheduled departure,actual departure,delay departure
01-03-2023,10:00,IG563,BLR,DEL,IndiGo,A320,On-time,27,5,N,10:15,10:13,0:00
01-03-2023,11:00,AI127,BOM,CCU,Air India,B737,Delayed,28,6,E,11:30,12:00,0:30
01-03-2023,13:00,V9123,HYD,MAA,Vistara,A320,On-time,29,4,W,13:45,13:43,0:00
01-03-2023,15:00,XZ548,AMD,GOI,AirAsia,A320,On-time,30,3,N,15:30,15:28,0:00
01-03-2023,17:00,SJ286,DEL,BLR,SpiceJet,B737,On-time,25,4,S,17:45,17:43,0:00
01-03-2023,19:00,AA129,CCU,BOM,Air India,B737,On-time,26,5,E,19:30,19:28,0:00
02-03-2023,10:00,IG564,BLR,DEL,IndiGo,A320,On-time,27,5,N,10:15,10:13,0:00
02-03-2023,11:00,AI128,BOM,CCU,Air India,B737,Delayed,28,6,E,11:30,12:00,0:30
02-03-2023,13:00,V9124,HYD,MAA,Vistara,A320,On-time,29,4,W,13:45,13:43,0:00
03-03-2023,6:00,IG675,BOM,DEL,IndiGo,A320,On-time,25,2,S,6:30,6:28,0:00
03-03-2023,8:00,VQ789,GOI,HYD,Vistara,A320,Delayed,28,3,N,8:15,8:45,0:30
03-03-2023,10:00,AA234,MAA,CCU,Air India,B737,On-time,27,4,W,10:30,10:28,0:00
03-03-2023,12:00,AS567,DEL,BLR,AirAsia,A320,On-time,26,5,S,12:45,12:43,0:00
03-03-2023,14:00,SS890,HYD,MAA,SpiceJet,B737,On-time,29,3,E,14:30,14:28,0:00
03-03-2023,16:00,AK345,BOM,CCU,Akasa Air,A320,On-time,25,2,S,16:15,16:13,0:00
03-03-2023,18:00,IG678,GOI,DEL,IndiGo,A320,Delayed,28,3,N,18:15,19:00,0:45
03-03-2023,20:00,VQ788,HYD,GOI,Vistara,A320,On-time,27,4,W,20:30,20:28,0:00
03-03-2023,22:00,AA235,CCU,MAA,Air India,B737,On-time,26,5,E,22:15,22:13,0:00
03-03-2023,23:00,AS568,BLR,DEL,AirAsia,A320,Delayed,24,2,S,23:15,0:00,0:00
04-03-2023,6:00,IG679,BOM,DEL,IndiGo,A320,On-time,25,2,S,6:30,6:28,0:00
04-03-2023,8:00,VQ790,GOI,HYD,Vistara,A320,Delayed,28,3,N,8:15,8:45,0:30
05-03-2023,10:00,IG680,DEL,BOM,IndiGo,A320,On-time,26,3,N,10:30,10:28,0:00
05-03-2023,12:00,VQ791,HYD,GOI,Vistara,A320,Delayed,27,4,W,12:30,13:00,0:30
05-03-2023,15:00,AI236,CCU,MAA,Air India,B737,On-time,24,5,E,15:15,15:13,0:00
05-03-2023,17:00,AS569,BLR,DEL,AirAsia,A320,Delayed,23,2,S,17:15,17:45,0:30
06-03-2023,20:00,IG681,BOM,DEL,IndiGo,A320,On-time,25,2,S,20:30,20:28,0:00
06-03-2023,22:00,VQ792,GOI,HYD,Vistara,A320,Delayed,28,3,N,22:15,22:45,0:30
06-03-2023,6:00,AI237,CCU,MAA,Air India,B737,On-time,26,5,E,6:15,6:13,0:00
06-03-2023,8:00,AS570,BLR,DEL,AirAsia,A320,Delayed,24,2,S,8:15,8:45,0:30
06-03-2023,10:00,IG682,DEL,BOM,IndiGo,A320,On-time,26,3,N,10:30,10:28,0:00
06-03-2023,12:00,VQ793,HYD,GOI,Vistara,A320,Delayed,27,4,W,12:30,13:00,0:30
07-03-2023,15:00,AI238,MAA,CCU,Air India,B737,On-time,24,5,E,15:15,15:13,0:00
07-03-2023,17:00,AS571,DEL,BLR,AirAsia,A320,Delayed,23,2,S,17:15,17:45,0:30
08-03-2023,6:00,IG681,BOM,DEL,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
08-03-2023,10:00,VQ794,GOI,HYD,Vistara,A320,On-time,24,4,W,10:30,10:28,0:00
08-03-2023,15:00,IG683,DEL,BOM,IndiGo,A320,On-time,25,3,N,15:30,15:28,0:00
09-03-2023,6:00,AI240,MAA,CCU,Air India,B737,On-time,24,5,E,6:15,6:13,0:00
09-03-2023,10:00,IG684,DEL,BOM,IndiGo,A320,On-time,25,3,N,10:30,10:28,0:00
09-03-2023,15:00,AI241,CCU,MAA,Air India,B737,On-time,26,5,E,15:15,15:13,0:00
10-03-2023,6:00,AI242,MAA,CCU,Air India,B737,Delayed,24,4,E,6:15,6:35,0:20
10-03-2023,10:00,IG685,DEL,BOM,IndiGo,A320,On-time,25,3,N,10:30,10:28,0:00
10-03-2023,15:00,AI243,CCU,MAA,Air India,B737,On-time,26,5,E,15:15,15:13,0:00
11-03-2023,6:00,VQ795,HYD,GOI,Vistara,A320,On-time,25,3,S,6:30,6:28,0:00
11-03-2023,10:00,IG686,BOM,DEL,IndiGo,A320,On-time,25,3,N,10:30,10:28,0:00
11-03-2023,15:00,AI244,CCU,MAA,Air India,B737,On-time,26,5,E,15:15,15:13,0:00
12-03-2023,6:00,AI245,MAA,CCU,Air India,B737,On-time,24,4,E,6:15,6:13,0:00
12-03-2023,10:00,VQ796,GOI,HYD,Vistara,A320,Delayed,25,3,S,10:30,11:00,0:30
12-03-2023,15:00,IG687,BOM,DEL,IndiGo,A320,On-time,25,3,N,15:30,15:28,0:00
13-03-2023,6:00,AI246,CCU,MAA,Air India,B737,On-time,26,5,E,6:15,6:13,0:00
13-03-2023,10:00,IG688,DEL,BOM,IndiGo,A320,On-time,25,3,N,10:30,10:28,0:00
13-03-2023,15:00,VQ797,HYD,GOI,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
14-03-2023,6:00,IG368,BOM,DEL,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
14-03-2023,10:00,VQ546,HYD,BLR,Vistara,A320,On-time,25,3,S,10:30,10:28,0:00
14-03-2023,15:00,AI874,CCU,MAA,Air India,B737,On-time,26,5,E,15:15,15:13,0:00
15-03-2023,6:00,IG291,DEL,BOM,IndiGo,A320,Delayed,25,3,N,6:30,7:00,0:30
15-03-2023,10:00,AI875,MAA,CCU,Air India,B737,On-time,24,4,E,10:15,10:13,0:00
15-03-2023,15:00,VQ547,BLR,HYD,Vistara,A320,Delayed,25,3,S,15:30,16:00,0:30
16-03-2023,6:00,IG369,DEL,BOM,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
16-03-2023,10:00,VQ798,GOI,HYD,Vistara,A320,On-time,25,3,S,10:30,10:28,0:00
16-03-2023,15:00,AI247,CCU,MAA,Air India,B737,On-time,26,5,E,15:15,15:13,0:00
17-03-2023,6:00,IG292,BOM,DEL,IndiGo,A320,Delayed,25,3,N,6:30,7:00,0:30
17-03-2023,10:00,AI876,MAA,CCU,Air India,B737,On-time,24,4,E,10:15,10:13,0:00
17-03-2023,15:00,VQ548,BLR,HYD,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
18-03-2023,6:00,IG123,BOM,DEL,IndiGo,A320,On-time,26,4,E,6:30,6:28,0:00
18-03-2023,10:00,AI567,CCU,MAA,Air India,B737,Delayed,25,3,N,10:15,10:45,0:30
18-03-2023,15:00,VQ987,HYD,BLR,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
19-03-2023,6:00,IG456,DEL,BOM,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
19-03-2023,10:00,AI234,MAA,CCU,Air India,B737,Delayed,24,4,E,10:15,10:45,0:30
19-03-2023,15:00,VQ101,BLR,HYD,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
20-03-2023,6:00,IG789,BOM,DEL,IndiGo,A320,On-time,26,4,E,6:30,6:28,0:00
20-03-2023,10:00,AI678,CCU,MAA,Air India,B737,On-time,25,3,N,10:15,10:13,0:00
20-03-2023,15:00,VQ234,HYD,BLR,Vistara,A320,Delayed,24,3,S,15:30,15:45,0:15
21-03-2023,6:00,IG987,DEL,BOM,IndiGo,A320,On-time,25,3,N,6:30,6:28,0:00
21-03-2023,10:00,AI123,MAA,CCU,Air India,B737,On-time,24,4,E,10:15,10:13,0:00
21-03-2023,15:00,VQ567,BLR,HYD,Vistara,A320,On-time,25,3,S,15:30,15:28,0:00
22-03-2023,6:00,IG456,BOM,DEL,IndiGo,A320,On-time,26,3,N,6:30,6:29,0:00
22-03-2023,10:00,AI876,CCU,MAA,Air India,B737,Delayed,25,4,E,10:15,10:30,0:15
22-03-2023,15:00,VQ123,HYD,BLR,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
23-03-2023,6:00,AA111,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
23-03-2023,10:00,SJ222,CCU,MAA,SpiceJet,B737,Delayed,25,4,E,10:15,10:30,0:15
23-03-2023,15:00,AA333,HYD,BLR,AirAsia,A320,On-time,24,3,S,15:30,15:28,0:00
24-03-2023,6:00,IG777,BOM,DEL,IndiGo,A320,On-time,26,3,N,6:30,6:29,0:00
24-03-2023,10:00,AI999,CCU,MAA,Air India,B737,On-time,25,4,E,10:15,10:13,0:00
24-03-2023,15:00,VQ444,BLR,HYD,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
25-03-2023,6:00,AA555,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
25-03-2023,10:00,SJ666,CCU,MAA,SpiceJet,B737,Delayed,25,4,E,10:15,10:30,0:15
25-03-2023,15:00,AA777,HYD,BLR,AirAsia,A320,On-time,24,3,S,15:30,15:28,0:00
26-03-2023,6:00,IG888,DEL,BOM,IndiGo,A320,On-time,25,4,E,6:30,6:28,0:00
26-03-2023,10:00,AI111,MAA,CCU,Air India,B737,Delayed,26,3,N,10:15,10:35,0:20
26-03-2023,15:00,VQ222,HYD,BLR,Vistara,A320,On-time,24,3,S,15:30,15:28,0:00
27-03-2023,6:00,AA333,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
27-03-2023,10:00,SJ444,CCU,MAA,SpiceJet,B737,On-time,25,4,E,10:15,10:13,0:00
27-03-2023,15:00,AA666,BLR,HYD,AirAsia,A320,Delayed,24,3,S,15:30,15:45,0:15
28-03-2023,6:00,IG999,DEL,BOM,IndiGo,A320,On-time,25,4,E,6:30,6:28,0:00
28-03-2023,10:00,AI222,MAA,CCU,Air India,B737,On-time,26,3,N,10:15,10:13,0:00
28-03-2023,15:00,VQ555,HYD,BLR,Vistara,A320,Delayed,24,3,S,15:30,15:45,0:15
29-03-2023,6:00,AA777,BOM,DEL,AirAsia,A320,On-time,26,3,N,6:30,6:29,0:00
29-03-2023,10:00,SJ111,CCU,MAA,SpiceJet,B737,On-time,25,4,E,10:15,10:13,0:00
29-03-2023,15:00,AA888,BLR,HYD,AirAsia,A320,Delayed,24,3,S,15:30,15:45,0:15
30-03-2023,6:00,IG666,DEL,BOM,IndiGo,A320,On-time,25,5,E,6:30,6:28,0:00
